unixTime,referencePressurePump,measuredPressurePump * 100,referencePressureValve,measuredPressureValve * 100,valvePWM,forceSensorValue * 100
1759181405.9265678,20.0,1911.0,0.0,1923.0,107.0,9934.0
1759181406.0608275,20.0,1923.0,0.0,1936.0,107.0,10048.0
1759181406.1031606,20.0,1948.0,0.0,1948.0,107.0,10141.0
1759181406.2364724,20.0,1960.0,0.0,1960.0,107.0,10210.0
1759181406.357174,20.0,1972.0,0.0,1972.0,107.0,10303.0
1759181406.4078462,20.0,1984.0,0.0,1997.0,42.0,10349.0
1759181406.5319967,20.0,2033.0,0.0,1960.0,42.0,10349.0
1759181406.6605706,20.0,2058.0,0.0,1936.0,42.0,10233.0
1759181406.6997426,20.0,2082.0,0.0,1911.0,42.0,10141.0
1759181406.8210275,20.0,2094.0,0.0,1862.0,42.0,9980.0
1759181406.9325876,20.0,2106.0,0.0,1850.0,42.0,9820.0
1759181407.0606723,20.0,2094.0,0.0,1826.0,42.0,9661.0
1759181407.1018438,20.0,2094.0,0.0,1789.0,42.0,9526.0
1759181407.2197692,20.0,2094.0,0.0,1789.0,42.0,9347.0
1759181407.3495917,20.0,2094.0,0.0,1765.0,42.0,9214.0
1759181407.4030356,20.0,2094.0,0.0,1752.0,42.0,9037.0
1759181407.5228472,20.0,2094.0,0.0,1728.0,42.0,8906.0
1759181407.6498005,20.0,2094.0,0.0,1728.0,42.0,8776.0
1759181407.7044623,20.0,2094.0,0.0,1691.0,42.0,8625.0
1759181407.8244889,20.0,2094.0,0.0,1679.0,42.0,8496.0
1759181407.9359422,20.0,2094.0,0.0,1655.0,42.0,8411.0
1759181408.0637918,20.0,2082.0,0.0,1630.0,42.0,8262.0
1759181408.1112974,20.0,2094.0,0.0,1618.0,42.0,8136.0
1759181408.238808,20.0,2082.0,0.0,1606.0,42.0,8032.0
1759181408.366588,20.0,2082.0,0.0,1582.0,42.0,7886.0
1759181408.414617,20.0,2082.0,0.0,1569.0,62.0,7762.0
1759181408.5413625,20.0,1984.0,0.0,1606.0,62.0,7824.0
1759181408.6685839,20.0,1911.0,0.0,1630.0,62.0,7990.0
1759181408.716524,20.0,1862.0,0.0,1643.0,62.0,8199.0
1759181408.8448842,20.0,1789.0,0.0,1667.0,62.0,8284.0
1759181408.972,20.0,1765.0,0.0,1667.0,62.0,8326.0
1759181409.0198221,20.0,1813.0,0.0,1679.0,62.0,8390.0
1759181409.1558654,20.0,1801.0,0.0,1691.0,62.0,8517.0
1759181409.2756202,20.0,1850.0,0.0,1691.0,62.0,8560.0
1759181409.3232532,20.0,1899.0,0.0,1728.0,62.0,8646.0
1759181409.4349675,20.0,1911.0,0.0,1740.0,62.0,8754.0
1759181409.5646417,20.0,1923.0,0.0,1765.0,62.0,8906.0
1759181409.614222,20.0,1923.0,0.0,1777.0,62.0,9037.0
1759181409.740188,20.0,1948.0,0.0,1789.0,62.0,9103.0
1759181409.8686516,20.0,1936.0,0.0,1801.0,62.0,9236.0
1759181409.9166968,20.0,1948.0,0.0,1789.0,62.0,9369.0
1759181410.044453,20.0,1960.0,0.0,1826.0,62.0,9481.0
1759181410.1795752,20.0,1960.0,0.0,1838.0,62.0,9548.0
1759181410.2202477,20.0,1972.0,0.0,1850.0,62.0,9661.0
1759181410.3475363,20.0,2009.0,0.0,1862.0,62.0,9752.0
1759181410.4749074,20.0,1984.0,0.0,1887.0,63.0,9797.0
1759181410.5233343,20.0,1997.0,0.0,1887.0,63.0,9888.0
1759181410.6569402,20.0,1984.0,0.0,1899.0,63.0,9980.0
1759181410.7790606,20.0,1997.0,0.0,1911.0,63.0,10071.0
1759181410.8270192,20.0,2009.0,0.0,1923.0,63.0,10117.0
1759181410.9384944,20.0,1972.0,0.0,1936.0,63.0,10164.0
